input,output
Create a blue pyramid at -85 29 -78,"createObject(type='pyramid', color='blue', location={x:-85, y:29, z:-78})"
Create a yellow cube at -95 82 -34,"createObject(type='cube', color='yellow', location={x:-95, y:82, z:-34})"
Create a yellow sphere at 52 91 -6,"createObject(type='sphere', color='yellow', location={x:52, y:91, z:-6})"
Create a blue cube at -38 -26 -48,"createObject(type='cube', color='blue', location={x:-38, y:-26, z:-48})"
Create a red pyramid at 40 -93 -49,"createObject(type='pyramid', color='red', location={x:40, y:-93, z:-49})"
Create a blue sphere at -16 -68 -97,"createObject(type='sphere', color='blue', location={x:-16, y:-68, z:-97})"
Create a green sphere at 25 -67 -100,"createObject(type='sphere', color='green', location={x:25, y:-67, z:-100})"
Create a red sphere at 51 -33 71,"createObject(type='sphere', color='red', location={x:51, y:-33, z:71})"
Create a blue sphere at -40 -12 -75,"createObject(type='sphere', color='blue', location={x:-40, y:-12, z:-75})"
Create a red sphere at 26 27 35,"createObject(type='sphere', color='red', location={x:26, y:27, z:35})"
Create a yellow cube at -87 63 39,"createObject(type='cube', color='yellow', location={x:-87, y:63, z:39})"
Create a green sphere at 51 -94 41,"createObject(type='sphere', color='green', location={x:51, y:-94, z:41})"
Create a red cube at -54 23 62,"createObject(type='cube', color='red', location={x:-54, y:23, z:62})"
Create a red pyramid at 81 7 16,"createObject(type='pyramid', color='red', location={x:81, y:7, z:16})"
Create a green sphere at -24 3 -60,"createObject(type='sphere', color='green', location={x:-24, y:3, z:-60})"
Create a blue sphere at 48 8 47,"createObject(type='sphere', color='blue', location={x:48, y:8, z:47})"
Create a yellow pyramid at -24 -24 89,"createObject(type='pyramid', color='yellow', location={x:-24, y:-24, z:89})"
Create a red cube at 99 92 -99,"createObject(type='cube', color='red', location={x:99, y:92, z:-99})"
Create a yellow sphere at 29 -72 -96,"createObject(type='sphere', color='yellow', location={x:29, y:-72, z:-96})"
Create a blue sphere at 84 45 -57,"createObject(type='sphere', color='blue', location={x:84, y:45, z:-57})"
Create a green cube at -87 64 -7,"createObject(type='cube', color='green', location={x:-87, y:64, z:-7})"
Create a red cube at -60 -50 59,"createObject(type='cube', color='red', location={x:-60, y:-50, z:59})"
Create a green sphere at 34 57 -79,"createObject(type='sphere', color='green', location={x:34, y:57, z:-79})"
Create a green pyramid at -66 78 43,"createObject(type='pyramid', color='green', location={x:-66, y:78, z:43})"
Create a green cube at -33 -93 -70,"createObject(type='cube', color='green', location={x:-33, y:-93, z:-70})"
Create a yellow cube at -82 22 -22,"createObject(type='cube', color='yellow', location={x:-82, y:22, z:-22})"
Create a green pyramid at 68 51 -56,"createObject(type='pyramid', color='green', location={x:68, y:51, z:-56})"
