input,output
"Create a yellow sphere at X=-80, Y=-40, Z=-83.","createObject(type="yellow", color="a", location={x:-80, y:-40, z:-83})"
"Create a green sphere at X=-23, Y=-38, Z=-5.","createObject(type="green", color="a", location={x:-23, y:-38, z:-5})"
"Create a yellow cube at X=-96, Y=53, Z=74.","createObject(type="yellow", color="a", location={x:-96, y:53, z:74})"
"Create a red cube at X=-83, Y=52, Z=-56.","createObject(type="red", color="a", location={x:-83, y:52, z:-56})"
"Create a blue pyramid at X=-6, Y=-58, Z=25.","createObject(type="blue", color="a", location={x:-6, y:-58, z:25})"
"Create a blue sphere at X=-77, Y=-6, Z=65.","createObject(type="blue", color="a", location={x:-77, y:-6, z:65})"
"Create a yellow cube at X=-19, Y=73, Z=-34.","createObject(type="yellow", color="a", location={x:-19, y:73, z:-34})"
"Create a green pyramid at X=15, Y=-56, Z=1.","createObject(type="green", color="a", location={x:15, y:-56, z:1})"
"Create a green cube at X=48, Y=32, Z=51.","createObject(type="green", color="a", location={x:48, y:32, z:51})"
"Create a red cube at X=-83, Y=-8, Z=46.","createObject(type="red", color="a", location={x:-83, y:-8, z:46})"
"Create a green cube at X=47, Y=-28, Z=-26.","createObject(type="green", color="a", location={x:47, y:-28, z:-26})"
"Create a blue pyramid at X=-38, Y=30, Z=-97.","createObject(type="blue", color="a", location={x:-38, y:30, z:-97})"
"Create a yellow cube at X=29, Y=61, Z=-4.","createObject(type="yellow", color="a", location={x:29, y:61, z:-4})"
"Create a blue sphere at X=42, Y=1, Z=93.","createObject(type="blue", color="a", location={x:42, y:1, z:93})"
"Create a red cube at X=-42, Y=-31, Z=58.","createObject(type="red", color="a", location={x:-42, y:-31, z:58})"
"Create a green pyramid at X=-5, Y=14, Z=68.","createObject(type="green", color="a", location={x:-5, y:14, z:68})"
"Create a red sphere at X=8, Y=-26, Z=32.","createObject(type="red", color="a", location={x:8, y:-26, z:32})"
"Create a blue cube at X=-17, Y=-32, Z=-56.","createObject(type="blue", color="a", location={x:-17, y:-32, z:-56})"
"Create a green sphere at X=-6, Y=-4, Z=-58.","createObject(type="green", color="a", location={x:-6, y:-4, z:-58})"
"Create a red sphere at X=-9, Y=91, Z=81.","createObject(type="red", color="a", location={x:-9, y:91, z:81})"
"Create a blue cube at X=-91, Y=33, Z=70.","createObject(type="blue", color="a", location={x:-91, y:33, z:70})"
"Create a green sphere at X=-23, Y=-13, Z=75.","createObject(type="green", color="a", location={x:-23, y:-13, z:75})"
"Create a blue pyramid at X=94, Y=-81, Z=61.","createObject(type="blue", color="a", location={x:94, y:-81, z:61})"
"Create a blue pyramid at X=-87, Y=-40, Z=-28.","createObject(type="blue", color="a", location={x:-87, y:-40, z:-28})"
"Create a yellow cube at X=11, Y=69, Z=-33.","createObject(type="yellow", color="a", location={x:11, y:69, z:-33})"
"Create a blue sphere at X=20, Y=11, Z=63.","createObject(type="blue", color="a", location={x:20, y:11, z:63})"
"Create a red pyramid at X=26, Y=-39, Z=-40.","createObject(type="red", color="a", location={x:26, y:-39, z:-40})"
"Create a yellow cube at X=-26, Y=79, Z=-95.","createObject(type="yellow", color="a", location={x:-26, y:79, z:-95})"
"Create a green pyramid at X=6, Y=-38, Z=-31.","createObject(type="green", color="a", location={x:6, y:-38, z:-31})"
"Create a yellow sphere at X=100, Y=94, Z=-4.","createObject(type="yellow", color="a", location={x:100, y:94, z:-4})"
"Create a blue pyramid at X=-40, Y=14, Z=68.","createObject(type="blue", color="a", location={x:-40, y:14, z:68})"
"Create a yellow cube at X=6, Y=35, Z=-68.","createObject(type="yellow", color="a", location={x:6, y:35, z:-68})"
"Create a red sphere at X=-53, Y=41, Z=-35.","createObject(type="red", color="a", location={x:-53, y:41, z:-35})"
