input,output
Create a blue pyramid at 25 -31 -79,"createObject(type='pyramid', color='blue', location={x:25, y:-31, z:-79})"
Create a green pyramid at 12 74 53,"createObject(type='pyramid', color='green', location={x:12, y:74, z:53})"
Create a green pyramid at 19 23 84,"createObject(type='pyramid', color='green', location={x:19, y:23, z:84})"
Create a red cube at -30 81 28,"createObject(type='cube', color='red', location={x:-30, y:81, z:28})"
Create a yellow pyramid at -63 13 -63,"createObject(type='pyramid', color='yellow', location={x:-63, y:13, z:-63})"
Create a blue cube at 20 16 -64,"createObject(type='cube', color='blue', location={x:20, y:16, z:-64})"
Create a red pyramid at 39 -76 53,"createObject(type='pyramid', color='red', location={x:39, y:-76, z:53})"
Create a yellow pyramid at 20 -42 72,"createObject(type='pyramid', color='yellow', location={x:20, y:-42, z:72})"
Create a green pyramid at 60 12 49,"createObject(type='pyramid', color='green', location={x:60, y:12, z:49})"
Create a green sphere at -72 -38 63,"createObject(type='sphere', color='green', location={x:-72, y:-38, z:63})"
Create a green sphere at 91 89 -52,"createObject(type='sphere', color='green', location={x:91, y:89, z:-52})"
Create a yellow cube at -80 -51 -54,"createObject(type='cube', color='yellow', location={x:-80, y:-51, z:-54})"
Create a blue pyramid at 92 -5 7,"createObject(type='pyramid', color='blue', location={x:92, y:-5, z:7})"
Create a yellow pyramid at 37 16 -80,"createObject(type='pyramid', color='yellow', location={x:37, y:16, z:-80})"
Create a red sphere at -76 81 -56,"createObject(type='sphere', color='red', location={x:-76, y:81, z:-56})"
Create a yellow cube at -31 27 -94,"createObject(type='cube', color='yellow', location={x:-31, y:27, z:-94})"
Create a green sphere at 1 -58 -32,"createObject(type='sphere', color='green', location={x:1, y:-58, z:-32})"
Create a red pyramid at 10 23 -39,"createObject(type='pyramid', color='red', location={x:10, y:23, z:-39})"
Create a yellow cube at 56 -91 3,"createObject(type='cube', color='yellow', location={x:56, y:-91, z:3})"
Create a yellow sphere at 46 60 47,"createObject(type='sphere', color='yellow', location={x:46, y:60, z:47})"
Create a green sphere at 58 -30 -47,"createObject(type='sphere', color='green', location={x:58, y:-30, z:-47})"
Create a blue pyramid at -26 61 56,"createObject(type='pyramid', color='blue', location={x:-26, y:61, z:56})"
Create a blue pyramid at -55 86 100,"createObject(type='pyramid', color='blue', location={x:-55, y:86, z:100})"
Create a red pyramid at 9 -99 -78,"createObject(type='pyramid', color='red', location={x:9, y:-99, z:-78})"
Create a red sphere at 56 -56 -41,"createObject(type='sphere', color='red', location={x:56, y:-56, z:-41})"
Create a green pyramid at 30 -89 -44,"createObject(type='pyramid', color='green', location={x:30, y:-89, z:-44})"
Create a red cube at 61 -96 -46,"createObject(type='cube', color='red', location={x:61, y:-96, z:-46})"
Create a blue pyramid at -60 -26 -47,"createObject(type='pyramid', color='blue', location={x:-60, y:-26, z:-47})"
Create a red sphere at 38 68 -11,"createObject(type='sphere', color='red', location={x:38, y:68, z:-11})"
Create a green sphere at -56 -7 90,"createObject(type='sphere', color='green', location={x:-56, y:-7, z:90})"
Create a red cube at -46 -18 -22,"createObject(type='cube', color='red', location={x:-46, y:-18, z:-22})"
Create a green cube at 51 -86 -37,"createObject(type='cube', color='green', location={x:51, y:-86, z:-37})"
Create a blue pyramid at -65 14 -11,"createObject(type='pyramid', color='blue', location={x:-65, y:14, z:-11})"
